"145.170","-","ME","Rumford","YSF    ","W1BKW","","",,"Oxford","","","UFB New England YSF Net","2025/08/23",
"145.170","-","NH","Bow","DMR    ","K1OX","CC8","",,"Merrimack","","","DMR-MARC New England Net","2015/10/10",
"145.170","-","RI","Cumberland","","NB1RI","67.0","67.0*",,"Providence","","997017","NB1RI Net","2025/09/08",
"145.180","-","MA","Chelmsford","DMR    ","N1IW","CC2","",,"Middlesex","","","DMR-MARC New England Net","2015/10/10",
"145.180","-","MA","Edgartown","DMR    ","KB1IHU","CC10","",,"Dukes","","","DMR-MARC New England Net","2018/12/08",
"145.180","-","MA","Northampton","DMR    ","KA1QFE","CC1","",,"Hampshire","","","DMR-MARC New England Net","2015/10/10",
"145.180","-","ME","Presque Isle","DMR    ","KC1FRJ","CC12","",,"Aroostook","","","DMR-MARC New England Net","2024/05/09",
"145.180","-","NH","Campton","DMR    ","KC1KAM","CC6","",,"Grafton","","","DMR-MARC New England Net","2021/08/20",
"145.190","-","CT","Rocky Hill","","N1OTW","71.9","71.9*",,"Hartford","","","N1OTW Net,RB:6m","2012/09/12",
"145.190","-","ME","Peru","DMR    ","W1BKW","CC13","",,"Oxford","","","DMR-MARC New England Net","2023/12/12",
"145.190","-","ME","Smyrna","DMR    ","KC1FRJ","CC12","",,"Aroostook","","","DMR-MARC New England Net","2024/05/09",
"145.190","-","NH","Chester","DMR    ","K1OX","CC9","",,"Rockingham","","","DMR-MARC New England Net","2015/10/10",
"145.190","-","RI","Exeter","P25/FM ","KR1EMA","67.0/NAC401","",,"Washington","","","","2025/11/01",
"145.200","-","MA","Bourne","DMR    ","K1RK","CC10","",,"Barnstable","","","DMR-MARC New England Net","2024/05/26",
"145.200","-","ME","Fort Kent","DMR    ","KC1FRJ","CC12","",,"Aroostook","","","DMR-MARC New England Net","2024/05/09",
"145.200","-","NH","Goffstown","P25YSFD-STARM17NXDN/NFM","NN1PA","123.0/RAN1/NAC293/C/CAN0","",,"Hillsborough","","","","2025/04/17",
"145.210","-","MA","Boston","","KB1BEM"," ","","Local","Suffolk","","","","2020/06/24",
"145.210","-","MA","Falmouth","DMR    ","N1YHS","CC9","",,"Barnstable","","","DMR-MARC New England Net","2023/03/23",
"145.210","-","ME","Gouldsboro","DMR    ","KC1FRJ","CC12","",,"Hancock","","","DMR-MARC New England Net","2024/05/09",
"145.210","-","RI","Coventry","YSF/FM ","WA1USA","192.8","",,"Kent","","","","2022/09/28",
"145.220","-","ME","Dexter","DMR    ","KB1UAS","CC12","",,"Penobscot","","","DMR-MARC New England Net","2024/01/19",
"145.220","-","NH","Goffstown","DMR    ","KM3T","CC11","",,"Hillsborough","","","DMR-MARC New England Net","2021/08/20",
"145.230","-","CT","East Hartland","","K1YON"," ","",,"Hartford","","","","2025/05/10",
"145.230","-","CT","Newtown","","WA1SOV"," ","",,"Fairfield","","","","2020/06/24",
